feature	PT1	PT2	PT3
GRM7-AS2	0	0	0
GRM7-AS3	0	0	0
GRM8	0	0	0
GRN	1934	8356	594
GRP	0	0	2
GRPEL1	32	434	142
GRPEL2	4	54	12
GRPR	0	0	0
GRSF1	906	794	2
GRTP1	0	0	0
GRTP1-AS1	0	0	0
GRWD1	0	90	30
GRXCR1	0	0	4
GRXCR2	0	0	0
GS1-124K5.11	8	232	246
GS1-24F4.2	0	0	0
GS1-259H13.2	0	0	0
GS1-279B7.1	0	0	10
GS1-594A7.3	0	0	0
GS1-600G8.3	670	0	0
GSAP	194	216	4
GSC	0	0	0
GSC2	0	0	2
GSDMA	0	0	0
GSDMB	18	38	0
GSDMC	0	0	8
GSDMD	70	1096	1064
GSE1	120	374	6
GSG1	0	0	4
GSG1L	0	0	2
GSG2	0	0	0
GSK3A	1364	2016	0
GSK3B	26	564	4
GSKIP	20	58	0
GSN	1066	532	212
GSN-AS1	0	0	12
GSPT1	422	716	4
GSPT2	0	6	0
GSR	38	10	4
GSS	18	2	2
GSTA1	0	36	0
GSTA2	0	0	0
GSTA3	0	0	0
GSTA4	0	0	112
GSTA5	0	0	2
GSTA7P	0	0	2
GSTCD	0	0	4
GSTK1	1896	4830	628
GSTM1	0	0	0
GSTM2	46	142	0
GSTM2P1	0	2	0
GSTM3	640	314	0
GSTM4	32	184	16
GSTM5	0	0	2
GSTO1	3150	5238	274
GSTO2	2	0	0
GSTP1	2076	3900	352
GSTT1	0	0	0
GSTT2	0	0	6
GSTT2B	0	0	0
GSTTP1	0	0	0
GSTTP2	0	0	2
GSTZ1	0	6	22
GSX1	0	0	4
GSX2	0	0	0
GTDC1	172	402	4
GTF2A1	84	0	0
GTF2A1L	0	0	0
GTF2A2	672	824	0
GTF2B	440	988	0
GTF2E1	2	194	2
GTF2E2	370	42	0
GTF2F1	282	264	66
GTF2F2	6	16	0
GTF2H1	0	384	8
GTF2H2	0	0	0
GTF2H2B	0	0	0
GTF2H2C	0	0	0
GTF2H2C_2	0	0	0
GTF2H3	20	0	10
GTF2H4	0	0	0
GTF2H5	402	256	0
GTF2I	0	10	0
GTF2IP1	0	10	0
GTF2IP20	0	0	10
GTF2IP4	0	0	0
GTF2IRD1	0	0	10
GTF2IRD1P1	0	0	16
GTF2IRD2	12	0	6
GTF2IRD2B	14	22	0
GTF3A	176	2920	6
GTF3C1	10	642	40
GTF3C2	0	42	2
GTF3C2-AS1	0	0	0
GTF3C3	0	0	2
GTF3C4	6	0	0
GTF3C5	12	60	8
GTF3C6	1606	1530	76
GTPBP1	1148	2836	622
GTPBP10	4	2	0
GTPBP2	22	34	6
GTPBP3	34	24	0
GTPBP4	122	112	4
GTPBP6	42	218	48
GTPBP8	22	8	0
GTSCR1	0	0	0
GTSE1	0	0	2
GTSE1-AS1	0	0	0
GTSF1	0	70	0
GTSF1L	0	0	0
GUCA1A	0	0	2
GUCA1B	0	10	74
GUCA1C	0	0	0
GUCA2A	0	0	0
GUCA2B	0	0	0
GUCD1	540	566	10
GUCY1A2	0	0	4
GUCY1A3	20	8	154
GUCY1B2	0	0	14
GUCY1B3	4	0	0
GUCY2C	2	0	6
GUCY2D	0	0	0
GUCY2EP	0	0	10
GUCY2F	0	0	2
GUCY2GP	0	0	2
GUF1	32	0	2
GUK1	6554	23622	3962
GULP1	0	0	4
GUSB	1072	46	22346
GUSBP1	0	0	2
GUSBP10	0	0	4
GUSBP11	0	162	14
GUSBP2	0	202	2
GUSBP3	0	0	0
GUSBP4	0	0	4
GUSBP5	0	0	0
GUSBP9	0	0	0
GVINP1	80	8	72
GXYLT1	12	2	0
GXYLT1P3	0	0	0
GXYLT2	0	0	0
GYG1	1238	244	70
GYG2	0	0	100
GYG2P1	0	0	2
GYLTL1B	0	6	16
GYPA	4	0	4
GYPB	4	72	0
GYPC	4272	11074	80
GYPE	0	0	0
GYS1	268	348	218
GYS2	0	0	0
GZF1	100	10	2
GZMA	1882	2274	746
GZMB	4598	12918	302
GZMH	1086	1122	2
GZMK	6	330	0
GZMM	0	0	2
H19	0	0	0
H1F0	0	0	4
H1FNT	0	0	0
H1FOO	0	0	0
H1FX	50	254	36
H1FX-AS1	0	0	0
H2AFB1	0	0	0
H2AFB2	0	0	0
H2AFB3	0	0	0
H2AFJ	24	58	2
H2AFV	366	870	8
H2AFX	92	26	0
H2AFY	774	1406	50
H2AFY2	0	0	4
H2AFZ	6594	14288	12402
H2BFM	0	0	0
H2BFWT	0	0	0
H2BFXP	0	0	0
H3F3A	0	0	0
H3F3AP4	358	532	108
H3F3B	52358	125484	9880
H3F3C	850	2312	334
H6PD	92	442	1818
HAAO	10	238	10
HABP2	0	0	10
HABP4	0	0	0
HACD1	2	136	0
HACD2	0	0	2
HACD3	1134	2	8
HACD4	1082	776	0
HACE1	0	0	0
HACL1	0	12	44
HADH	0	104	0
HADHA	1296	1634	28
HADHB	362	652	56
HAGH	1118	4034	198
HAGHL	52	0	0
HAGLR	0	0	2
HAGLROS	0	0	0
HAL	538	94	6
HAMP	0	0	2
HAND1	0	0	0
HAND2	0	0	2
HAND2-AS1	0	0	0
HAO1	0	0	0
HAO2	0	0	2
HAO2-IT1	0	0	0
HAP1	0	0	6
HAPLN1	10	0	0
HAPLN2	0	0	0
HAPLN3	8	14	152
HAPLN4	0	0	2
HAR1A	0	0	4
HAR1B	0	0	0
HARBI1	66	0	0
HARS	244	492	74
HARS2	1202	4	2
HAS1	0	0	6
HAS2	0	0	0
HAS2-AS1	0	0	0
HAS3	0	0	18
HAT1	1318	350	68
HAUS1	0	4	0
HAUS2	124	192	2
HAUS3	1110	36	0
HAUS4	456	24	146
HAUS5	8	6	4
HAUS6	6	58	28
HAUS7	274	238	0
HAUS8	18	318	2
HAVCR1	0	0	6
HAVCR1P1	0	0	0
HAVCR2	0	1756	0
HAX1	6	782	68
HBA1	42964	31590	30284
HBA2	29382	19464	52404
HBB	831314	295992	379390
HBBP1	0	0	0
HBD	392	354	22
HBE1	0	0	0
HBEGF	0	0	0
HBG1	2044	1878	2308
HBG2	4246	5518	4308
HBM	498	934	1420
HBP1	14	3074	46
HBQ1	626	536	2294
HBS1L	0	32	6
HBZ	8	0	0
HCAR1	0	0	0
HCAR2	562	514	8
HCAR3	496	888	26
HCCAT5	0	0	0
HCCS	644	1260	0
HCFC1	90	938	24
HCFC1-AS1	0	0	0
HCFC1R1	2	0	0
HCFC2	0	0	0
HCG11	6	0	10
HCG14	0	0	0
HCG17	24	0	0
HCG18	712	0	634
HCG2040054	0	0	0
HCG22	0	0	2
HCG23	0	0	0
HCG25	0	0	4
HCG26	12	12	3638
HCG27	40	20	0
HCG4	0	0	0
HCG4B	0	2	2
HCG8	0	0	0
HCG9	0	0	0
HCK	1168	5608	6476
HCLS1	2232	7614	12548
HCN1	0	0	0
HCN2	0	0	0
HCN3	0	0	10
HCN4	0	0	2
HCP5	1788	242	0
HCRT	0	0	0
HCRTR1	0	0	2
HCRTR2	0	0	0
HCST	628	768	488
HDAC1	230	152	60
HDAC10	28	154	6
HDAC11	6	24	8
HDAC11-AS1	0	0	0
HDAC2	140	666	6
HDAC3	2070	980	4
HDAC4	6	136	102
HDAC5	226	252	258
HDAC6	0	0	2
HDAC7	62	550	88
HDAC8	52	144	0
HDAC9	0	20	0
HDC	6	0	0
HDDC2	114	738	2
HDDC3	4	1478	18
HDGF	672	364	12
HDGFL1	0	0	0
HDGFRP2	16	0	16
HDGFRP3	32	0	0
HDHD1	34	0	0
HDHD2	0	6	0
HDHD3	14	44	96
HDLBP	86	640	6
HDX	0	0	0
HEATR1	4	0	4
HEATR3	0	46	0
HEATR4	0	0	4
HEATR5A	294	82	12
HEATR5B	124	14	12
HEATR6	0	218	10
HEATR9	0	2	2
HEBP1	210	264	222
HEBP2	1218	1760	2
HECA	540	78	58
HECTD1	576	0	4
HECTD2	0	0	4
HECTD2-AS1	0	0	2
HECTD3	84	18	2
HECTD4	640	90	16
HECW1	0	0	8
HECW2	0	0	4
HEG1	396	0	170
HEIH	58	348	12
HELB	0	0	4
HELLS	0	14	0
HELQ	2	22	0
HELT	0	0	0
HELZ	164	1726	20
HELZ2	0	166	4
HEMGN	0	0	0
HEMK1	594	998	2
HENMT1	44	6	186
HEPACAM	0	0	2
HEPACAM2	0	98	0
HEPH	0	0	18
HEPHL1	0	0	4
HEPN1	0	0	0
HERC1	552	1138	68
HERC2	20	32	18
HERC2P10	0	0	0
HERC2P2	48	190	18
HERC2P3	0	0	0
HERC2P4	0	0	0
HERC2P7	0	0	0
HERC2P9	0	12	0
HERC3	1750	318	20
HERC4	354	324	6
HERC5	282	658	8
HERC6	62	14	6
HERPUD1	776	4074	6
HERPUD2	54	16	2
HES1	64	0	6
HES2	0	0	4
HES3	0	0	6
HES4	0	78	0
HES5	0	0	2
HES6	0	16	2
HES7	0	0	0
HESX1	0	0	6
HEXA	54	234	512
HEXA-AS1	0	0	0
HEXB	28	360	4
HEXDC	0	242	4
HEXIM1	136	884	10
HEXIM2	14	0	10
HEY1	0	0	0
HEY2	0	0	0
HEYL	0	0	2
HFE	0	498	2
HFE2	0	0	0
HFM1	0	0	324
HGC6.3	0	0	6
HGD	404	126	2
HGF	0	0	0
HGFAC	0	0	2
HGH1	0	2	2
HGS	476	454	22
HGSNAT	10	794	6
HHAT	0	0	2
HHATL	0	0	0
HHEX	1072	1076	4
HHIP	0	0	4
HHIP-AS1	0	0	0
HHIPL1	0	0	6
HHIPL2	0	0	0
HHLA1	0	0	0
HHLA2	0	0	4
HHLA3	2	0	2
HIAT1	382	292	40
HIATL1	152	20	0
HIATL2	0	314	24
HIBADH	520	0	2
HIBCH	44	8	0
HIC1	4	0	2
HIC2	2	0	4
HID1	0	8	4
HID1-AS1	0	0	0
HIF1A	0	140	0
HIF1A-AS1	0	0	0
HIF1A-AS2	0	0	0
HIF1AN	1158	146	158
HIF3A	0	0	0
HIGD1A	2354	2076	168
HIGD1B	0	0	0
HIGD1C	0	0	0
HIGD2A	650	1794	2816
HIGD2B	0	0	6
HILPDA	0	6	2
HILS1	0	0	0
HINFP	16	144	12
HINT1	2002	3146	58
HINT2	182	478	168
HINT3	10	218	4
HIP1	0	0	6
HIP1R	98	2	24
HIPK1	812	98	0
HIPK1-AS1	0	0	44
HIPK2	22	206	4
HIPK3	442	516	46
HIPK4	0	0	0
HIRA	14	2	12
HIRIP3	0	8	6
HIST1H1A	0	0	4
HIST1H1B	0	0	0
HIST1H1C	128	118	122
HIST1H1D	0	0	6
HIST1H1E	2	0	0
HIST1H1T	0	0	0
HIST1H2AA	0	0	6
HIST1H2AB	0	0	0
HIST1H2AC	464	2206	180
HIST1H2AD	0	0	0
HIST1H2AE	30	4	178
HIST1H2AG	0	0	0
HIST1H2AH	0	0	0
HIST1H2AI	0	0	0
HIST1H2AJ	0	0	0
HIST1H2AK	0	0	0
HIST1H2AL	0	0	0
HIST1H2AM	0	0	0
HIST1H2APS1	0	0	0
HIST1H2BA	0	0	0
HIST1H2BB	76	44	0
HIST1H2BC	176	642	0
HIST1H2BD	4	36	2
HIST1H2BE	0	0	0
HIST1H2BF	0	8	10
HIST1H2BG	0	14	0
HIST1H2BH	150	12	0
HIST1H2BI	0	0	0
HIST1H2BJ	0	0	0
HIST1H2BK	658	756	36
HIST1H2BL	0	0	0
HIST1H2BM	0	0	0
HIST1H2BN	48	58	0
HIST1H2BO	0	16	0
HIST1H3A	0	0	0
HIST1H3B	12	0	0
HIST1H3C	0	0	0
HIST1H3D	50	0	0
HIST1H3E	24	130	0
HIST1H3F	0	0	0
HIST1H3G	0	0	0
HIST1H3H	302	1566	0
HIST1H3I	0	0	0
HIST1H3J	0	0	0
HIST1H4A	0	0	0
HIST1H4B	0	0	0
HIST1H4C	12	8	0
HIST1H4D	0	0	0
HIST1H4E	0	4	0
HIST1H4F	0	0	0
HIST1H4G	0	0	0
HIST1H4H	102	302	0
HIST1H4I	0	0	0
HIST1H4J	4	0	0
HIST1H4K	0	0	0
HIST1H4L	0	0	0
HIST2H2AA3	0	0	0
HIST2H2AA4	0	0	0
HIST2H2AB	0	36	0
HIST2H2AC	0	2	0
HIST2H2BA	0	0	0
HIST2H2BC	2	0	2
HIST2H2BE	2	470	28
HIST2H2BF	0	0	0
HIST2H3A	0	0	0
HIST2H3C	0	0	0
HIST2H3D	0	0	0
HIST2H4A	0	0	0
HIST2H4B	0	0	0
HIST3H2A	0	0	0
HIST3H2BB	0	0	0
HIST3H3	0	0	0
HIST4H4	0	0	0
HIVEP1	6	106	6
HIVEP2	12	58	16
HIVEP3	6	1076	14
HJURP	0	0	2
HK1	104	672	226
HK2	40	8	4
HK3	114	384	146
HKDC1	2	154	8
HKR1	16	950	2
HLA-A	14920	25756	6552
HLA-B	47832	75790	42364
HLA-C	26724	50782	27906
HLA-DMA	1978	7052	232
HLA-DMB	556	1088	12
HLA-DOA	0	520	4
HLA-DOB	142	204	0
HLA-DPA1	4282	5850	310
HLA-DPB1	2958	4718	9238
HLA-DPB2	0	0	0
HLA-DQA1	866	3228	538
HLA-DQA2	6	124	0
HLA-DQB1	1386	5096	6
HLA-DQB2	48	196	2
HLA-DRA	11910	20556	894
HLA-DRB1	8578	32332	7220
HLA-DRB3	0	0	0
HLA-DRB4	0	0	0
HLA-DRB5	3846	17708	736
HLA-DRB6	48	190	146
HLA-E	16960	48678	8318
HLA-F	2436	2608	92
HLA-F-AS1	0	0	0
HLA-G	110	342	2
HLA-H	302	662	6
HLA-J	26	28	6
HLA-L	2	14	2
HLCS	228	6	6
HLF	0	0	0
HLTF	22	0	0
HLTF-AS1	0	0	0
HLX	176	154	40
HLX-AS1	0	0	0
HM13	30	2916	34
HM13-AS1	0	0	0
HMBOX1	0	0	12
HMBS	2	232	6
HMCES	8	34	18
HMCN1	0	0	12
HMCN2	0	0	40
HMG20A	262	216	0
HMG20B	14	316	12
HMGA1	22	308	326
HMGA1P7	0	0	4
HMGA2	0	0	0
HMGB1	1276	2434	130
HMGB2	566	1758	34
HMGB3	0	0	0
HMGB3P1	0	0	0
HMGB4	0	0	4
HMGCL	2	266	2
HMGCLL1	0	0	0
HMGCR	0	2	2
HMGCS1	18	90	14
HMGCS2	0	0	0
HMGN1	1390	1570	0
HMGN2	1822	8664	2002
HMGN2P46	0	4	138
HMGN3	110	374	2
HMGN3-AS1	0	0	2
HMGN4	234	1480	0
HMGN5	126	0	10
HMGXB3	68	40	30
HMGXB4	12	54	16
HMHA1	1254	4240	5564
HMHB1	0	0	0
HMMR	0	0	2
HMMR-AS1	0	0	0
HMOX1	0	172	2
HMOX2	518	2530	96
HMP19	0	0	0
HMSD	0	0	0
HMX1	0	0	4
HMX2	0	0	0
HMX3	0	0	0
HN1	2526	3822	280
HN1L	38	20	0
HNCAT21	0	0	0
HNF1A	0	0	0
HNF1A-AS1	2	0	0
HNF1B	0	0	4
HNF4A	0	0	0
HNF4A-AS1	0	0	0
HNF4G	0	0	0
HNMT	18	130	12
HNRNPA0	20	272	0
HNRNPA1	752	668	22
HNRNPA1L2	2	2	6
HNRNPA1P10	4	0	0
HNRNPA1P33	0	0	0
HNRNPA2B1	1518	928	12
HNRNPA3	592	432	3774
HNRNPA3P1	0	0	0
HNRNPAB	118	30	290
HNRNPC	1602	1890	12
HNRNPCL1	4	0	0
HNRNPCL2	0	0	0
HNRNPCL3	0	0	0
HNRNPCL4	0	0	0
HNRNPD	780	1408	1174
HNRNPDL	1008	846	3992
HNRNPF	170	140	10
HNRNPH1	350	946	8
HNRNPH2	0	2	0
HNRNPH3	676	20	8
HNRNPK	410	518	34
HNRNPKP3	0	0	0
HNRNPL	160	60	116
HNRNPLL	152	8	44
HNRNPM	2166	4272	50
HNRNPR	130	98	6
HNRNPU	1004	244	80
HNRNPU-AS1	124	72	0
HNRNPUL1	268	438	12
HNRNPUL2	32	8	6
HNRNPUL2-BSCL2	0	0	0
HOGA1	0	0	16
HOMER1	0	0	0
HOMER2	0	0	0
HOMER3	0	0	6
HOMEZ	0	16	2
HOOK1	0	0	0
HOOK2	0	82	0
HOOK3	64	80	8
HOPX	576	1642	0
HORMAD1	0	0	0
HORMAD2	0	0	4
HORMAD2-AS1	0	20	24
HOTAIR	0	0	0
HOTAIRM1	104	16	0
HOTS	0	0	0
HOTTIP	0	0	6
HOXA-AS2	0	0	0
HOXA-AS3	0	0	0
HOXA1	10	0	6
HOXA10	0	0	0
HOXA10-AS	0	0	14
HOXA10-HOXA9	0	0	0
HOXA11	0	0	0
HOXA11-AS	0	0	6
HOXA13	0	0	0
HOXA2	0	0	0
HOXA3	0	0	0
HOXA4	0	0	2
HOXA5	0	0	0
HOXA6	0	0	0
HOXA7	0	0	0
HOXA9	0	0	0
HOXB-AS1	0	16	0
HOXB-AS3	0	0	2
HOXB1	0	0	0
HOXB13	0	0	4
HOXB2	156	38	0
HOXB3	0	0	0
HOXB4	0	30	2
HOXB5	0	0	2
HOXB6	0	0	0
HOXB7	0	0	0
HOXB8	0	0	0
HOXB9	0	0	12
HOXC-AS1	0	0	0
HOXC-AS2	0	0	0
HOXC-AS3	0	0	0
HOXC10	0	0	0
HOXC11	0	0	0
HOXC12	0	0	4
HOXC13	0	0	0
HOXC13-AS	0	0	0
HOXC4	0	0	2
HOXC5	0	0	0
HOXC6	0	0	0
HOXC8	0	0	0
HOXC9	0	0	6
HOXD-AS2	0	0	0
HOXD1	0	0	0
HOXD10	0	0	6
HOXD11	0	0	0
HOXD12	0	0	0
HOXD13	0	0	0
HOXD3	0	0	10
HOXD4	0	0	2
HOXD8	0	0	0
HOXD9	0	0	0
HP	26	0	0
HP09025	0	0	0
HP09053	0	150	0
HP1BP3	218	22	10
HPCA	0	0	0
HPCAL1	26	74	2818
HPCAL4	0	2	6
HPD	52	0	2
HPDL	0	0	2
HPGD	0	0	0
HPGDS	0	0	0
HPN	0	0	0
HPN-AS1	0	0	16
HPR	0	32	0
HPRT1	458	382	0
HPS1	342	1418	12
HPS3	0	690	0
HPS4	0	8	6
HPS5	12	10	2
HPS6	0	52	2
HPSE	0	1206	18
HPSE2	0	0	4
HPVC1	0	0	0
HPX	0	0	0
HPYR1	0	0	0
HR	0	0	4
HRAS	78	0	0
HRASLS	0	104	0
HRASLS2	0	2	0
HRASLS5	0	0	0
HRAT13	0	0	0
HRAT17	0	0	0
HRAT5	6	8	0
HRAT56	0	0	6
HRAT92	40	350	4
HRC	0	0	5596
HRCT1	0	0	4
HRG	0	0	0
HRH1	0	0	0
HRH2	652	4398	488
HRH3	0	0	2
HRH4	0	0	2
HRK	0	0	4
HRNR	0	0	2
HRSP12	108	38	12
HS1BP3	102	18	18
HS1BP3-IT1	0	0	2
HS2ST1	0	52	0
HS3ST1	0	0	0
HS3ST2	0	0	6
HS3ST3A1	0	0	6
HS3ST3B1	526	496	370
HS3ST4	0	0	0
HS3ST5	0	0	0
HS3ST6	0	0	0
HS6ST1	0	8	0
HS6ST2	0	0	0
HS6ST2-AS1	0	0	0
HS6ST3	0	0	0
HSBP1	1252	1916	36
HSBP1L1	44	144	0
HSCB	280	136	2
HSD11B1	0	0	2
HSD11B1L	0	0	0
HSD11B2	0	0	0
HSD17B1	16	6	20
HSD17B10	826	1204	14
HSD17B11	1308	1910	50
HSD17B12	0	142	0
HSD17B13	0	0	0
HSD17B14	0	0	0
HSD17B2	0	0	0
HSD17B3	0	0	0
HSD17B4	6	126	2
HSD17B6	0	0	4
HSD17B7	0	90	0
HSD17B7P2	22	4	0
HSD17B8	156	168	486
HSD3B1	0	0	0
HSD3B2	0	0	2
HSD3B7	0	4	2
HSD3BP4	0	0	4
HSD52	0	0	0
HSDL1	44	0	678
HSDL2	16	646	16
HSF1	142	72	4
HSF2	10	2	0
HSF2BP	0	0	2
HSF4	0	0	0
HSF5	0	0	0
HSFX1	0	0	0
HSFX2	0	0	0
HSFY1	0	0	0
HSFY1P1	0	0	0
HSFY2	0	0	0
HSH2D	130	582	62
HSP90AA1	2948	3240	600
HSP90AB1	742	3016	774
HSP90AB4P	0	0	68
HSP90B1	364	750	2
HSP90B2P	30	22	0
HSPA12A	0	0	12
HSPA12B	0	0	0
HSPA13	2	248	0
HSPA14	900	84	0
HSPA1A	448	912	1026
HSPA1B	28	18	26
HSPA1L	68	82	4
HSPA2	34	0	0
HSPA4	30	6	14
HSPA4L	0	0	0
HSPA5	104	1040	506
HSPA6	534	2108	134
HSPA7	38	14	8
HSPA8	5972	4024	6616
HSPA9	38	938	0
HSPB1	58	296	8
HSPB11	260	496	0
HSPB2	0	0	0
HSPB2-C11orf52	0	0	0
HSPB3	0	0	0
HSPB6	0	12	0
HSPB7	0	0	0
HSPB8	0	0	4
HSPB9	0	0	4
HSPBAP1	46	126	0
HSPBP1	254	6	2
HSPD1	104	250	14
HSPE1	58	100	2
HSPE1-MOB4	0	0	0
HSPG2	0	0	14
HSPH1	978	18	16
HTATIP2	282	1262	2
HTATSF1	270	0	0
HTATSF1P2	12	0	0
HTN1	0	0	0
HTN3	0	0	0
HTR1A	12	0	0
HTR1B	0	0	0
HTR1D	0	0	0
HTR1E	0	0	0
HTR1F	0	0	0
HTR2A	0	0	2
HTR2A-AS1	0	0	0
HTR2B	0	0	0
HTR2C	0	0	0
HTR3A	4	0	0
HTR3B	0	0	2
HTR3C	0	0	4
HTR3D	0	0	2
HTR3E	0	0	4
HTR4	0	0	10
HTR5A	0	0	8
HTR5A-AS1	0	0	0
HTR6	0	0	0
HTR7	0	0	10
HTR7P1	0	16	2
HTRA1	0	0	0
HTRA2	0	22	126
HTRA3	0	0	14
HTRA4	0	0	4
HTT	30	510	14
HTT-AS	0	0	0
HULC	0	0	0
HUNK	0	0	0
HUS1	4	814	750
HUS1B	0	0	0
HUWE1	8	452	348
HVCN1	54	416	0
HYAL1	0	0	2
HYAL2	2	0	6
HYAL3	0	0	0
HYAL4	0	0	0
HYALP1	0	0	0
HYDIN	0	8	1202
HYDIN2	0	0	12
HYI	0	0	0
HYKK	0	0	12
HYLS1	0	0	0
HYMAI	0	0	0
HYOU1	8	0	92
HYPK	0	0	0
HYPM	0	0	0
IAH1	620	1446	0
IAPP	0	0	0
IARS	0	246	110
IARS2	320	324	0
IBA57	0	124	0
IBA57-AS1	0	0	0
IBSP	0	0	2
IBTK	106	56	10
ICA1	0	46	0
ICA1L	22	40	10
ICAM1	0	38	4
ICAM2	84	670	2
ICAM3	1598	7410	332
ICAM4	0	122	8
ICAM5	0	0	4
ICE1	148	6	0
ICE2	26	38	2
ICK	0	0	4
ICMT	2	56	8
ICOS	0	0	0
ICOSLG	0	0	0
ICT1	82	280	6
ID1	0	0	0
ID2	152	904	0
ID2-AS1	4	216	0
ID3	290	800	732
ID4	0	0	0
IDE	192	50	22
IDH1	82	614	2
IDH1-AS1	14	6	0
IDH2	476	594	378
IDH3A	8	88	0
IDH3B	180	1208	576
IDH3G	54	146	184
IDI1	188	70	0
IDI2	2	0	6
IDI2-AS1	0	0	6
IDNK	296	48	0
IDO1	0	0	0
IDO2	0	0	0
IDS	1080	3456	34
IDUA	34	2	8
IER2	628	1742	80
IER3	92	118	10
IER3IP1	78	232	0
IER5	20	516	4
IER5L	0	0	14
IFFO1	90	178	20
IFFO2	2	0	0
IFI16	1786	344	148
IFI27	22	52	2
IFI27L1	74	4	6
IFI27L2	150	272	912
IFI30	9258	30228	1564
IFI35	378	1648	16
IFI44	568	416	2
IFI44L	72	372	0
IFI6	1108	2558	522
IFIH1	1242	12	0
IFIT1	34	2276	0
IFIT1B	40	10	0
IFIT2	2008	1058	12
IFIT3	2210	4392	62
IFIT5	190	432	0
IFITM1	10758	23370	2592
IFITM10	0	0	0
IFITM2	54888	117718	26712
IFITM3	974	3038	2264
IFITM4P	0	0	4
IFITM5	12	0	0
IFNA1	0	0	0
IFNA10	0	0	0
IFNA13	0	0	0
IFNA14	0	0	0
IFNA16	0	0	0
IFNA17	0	0	2
IFNA2	0	0	0
IFNA21	0	0	0
IFNA22P	0	0	8
IFNA4	0	0	0
IFNA5	0	0	0
IFNA6	0	0	0
IFNA7	0	0	0
IFNA8	0	0	0
IFNAR1	668	310	30
IFNAR2	334	1364	194
IFNB1	0	0	0
IFNE	0	0	0
IFNG	0	6	2
IFNG-AS1	0	0	2
IFNGR1	1966	1088	0
IFNGR2	1668	2368	58
IFNK	0	0	4
IFNL1	2	8	0
IFNL2	0	0	6
IFNL3	0	0	0
IFNL4	0	0	0
IFNLR1	0	70	2
IFNW1	0	0	0
IFRD1	88	186	72
IFRD2	2	2	2
IFT122	0	16	2
IFT140	0	0	146
IFT172	0	0	4
IFT20	64	244	12
IFT22	4	0	2
IFT27	314	278	2
IFT43	296	102	6
IFT46	0	4	8
IFT52	6	28	0
IFT57	240	48	0
IFT74	0	0	0
IFT74-AS1	0	0	2
IFT80	22	26	0
IFT81	0	0	0
IFT88	0	0	0
IGBP1	68	202	0
IGBP1P1	0	0	0
IGDCC3	0	0	0
IGDCC4	0	0	2
IGF1	0	0	2
IGF1R	492	4	1292
IGF2	0	0	0
IGF2-AS	0	0	0
IGF2BP1	0	0	12
IGF2BP2	16	0	20
IGF2BP2-AS1	0	0	0
IGF2BP3	0	0	4
IGF2R	18	188	4
IGFALS	0	0	0
IGFBP1	0	0	0
IGFBP2	0	0	0
IGFBP3	0	0	0
IGFBP4	0	0	0
IGFBP5	0	0	4
IGFBP6	28	0	2
IGFBP7	430	90	0
IGFBP7-AS1	0	0	2
IGFBPL1	0	0	2
IGFL1	0	0	0
IGFL2	0	0	2
IGFL3	0	0	0
IGFL4	0	0	0
IGFLR1	496	1470	234
IGFN1	0	0	4
IGHMBP2	0	0	4
IGIP	0	70	12
IGLL1	0	0	0
IGLL3P	0	0	0
IGLL5	536	710	6
IGLON5	0	0	0
IGSF1	0	0	12
IGSF10	0	0	2372
IGSF11	0	0	0
IGSF11-AS1	0	0	0
IGSF21	0	0	0
IGSF22	8	0	4
IGSF23	0	0	0
IGSF3	2	0	1238
IGSF5	0	0	10
IGSF6	2716	3232	1660
IGSF8	32	32	66
IGSF9	0	0	12
IGSF9B	0	0	2
IHH	0	0	2
IK	936	762	30
IKBIP	72	502	4
IKBKAP	72	38	5538
IKBKB	64	304	240
IKBKE	570	162	108
IKBKG	0	102	2
IKZF1	228	328	98
IKZF2	0	40	0
IKZF3	52	634	46
IKZF4	0	0	2
IKZF5	0	4	0
IL10	8	0	0
IL10RA	1714	5702	2826
IL10RB	974	1766	48
IL10RB-AS1	34	194	2
IL11	0	0	0
IL11RA	210	94	44
IL12A	0	0	0
IL12A-AS1	0	0	0
IL12B	0	0	2
IL12RB1	206	136	26
IL12RB2	0	0	0
IL13	0	0	0
IL13RA1	4206	456	48
IL13RA2	0	0	0
IL15	0	42	0
IL15RA	54	144	0
IL16	246	1632	624
IL17A	0	0	0
IL17B	0	196	4
IL17C	0	0	0
IL17D	0	0	0
IL17F	0	0	0
IL17RA	1134	2418	248
IL17RB	0	0	4
IL17RC	0	0	4
IL17RD	0	0	0
IL17RE	0	0	4
IL17REL	0	0	2
IL18	188	0	2
IL18BP	456	622	2
IL18R1	40	6	0
IL18RAP	22	1732	148
IL19	0	0	6
IL1A	0	0	0
IL1B	324	870	8
IL1F10	0	0	10
IL1R1	74	0	2
IL1R2	328	2372	58
IL1RAP	8	0	0
IL1RAPL1	0	0	0
IL1RAPL2	0	0	4
IL1RL1	0	0	0
IL1RL2	0	0	4
IL1RN	284	1722	66
IL2	0	0	0
IL20	0	0	2
IL20RA	0	0	0
IL20RB	0	0	0
IL21	0	0	0
IL21-AS1	0	0	0
IL21R	64	52	40
IL21R-AS1	0	0	0
IL22	0	0	0
IL22RA1	0	0	0
IL22RA2	0	0	0
IL23A	0	184	6
IL23R	0	0	0
IL24	0	0	6
IL25	0	0	0
IL26	0	0	0
IL27	0	0	12
